iter	Passed	Remaining
401	15157	3695
402	15192	3656
403	15223	3617
404	15252	3577
405	15282	3538
406	15313	3499
407	15343	3459
408	15376	3421
409	15407	3382
410	15439	3343
411	15471	3304
412	15504	3266
413	15537	3227
414	15568	3188
415	15597	3149
416	15625	3110
417	15655	3071
418	15686	3032
419	15727	2995
420	15760	2957
421	15789	2918
422	15822	2880
423	15854	2841
424	15884	2803
425	15918	2765
426	15951	2727
427	15987	2689
428	16018	2651
429	16051	2613
430	16083	2574
431	16113	2536
432	16151	2499
433	16181	2460
434	16213	2422
435	16244	2384
436	16278	2346
437	16311	2308
438	16342	2270
439	16373	2232
440	16405	2194
441	16436	2156
442	16469	2119
443	16500	2081
444	16532	2043
445	16566	2005
446	16597	1967
447	16629	1930
448	16662	1892
449	16694	1854
450	16729	1817
451	16762	1780
452	16794	1742
453	16827	1704
454	16857	1667
455	16888	1629
456	16919	1591
457	16954	1554
458	16986	1517
459	17018	1479
460	17050	1442
461	17079	1404
462	17110	1367
463	17143	1330
464	17176	1292
465	17208	1255
466	17237	1218
467	17267	1180
468	17299	1143
469	17332	1106
470	17363	1069
471	17395	1031
472	17425	994
473	17455	957
474	17490	920
475	17528	883
476	17563	846
477	17597	809
478	17628	772
479	17660	735
480	17701	699
481	17735	662
482	17767	625
483	17797	588
484	17826	551
485	17856	514
486	17888	477
487	17965	441
488	17997	404
489	18029	367
490	18061	331
491	18090	294
492	18118	257
493	18149	220
494	18183	183
495	18215	146
496	18245	110
497	18275	73
498	18309	36
499	18338	0
