iter	RMSE
349	5271.419473
350	5269.047687
351	5268.972389
352	5264.3441
353	5260.643108
354	5254.573359
355	5248.016632
356	5243.747597
357	5237.886181
358	5235.924829
359	5235.647759
360	5230.795003
361	5228.858721
362	5226.048721
363	5220.125373
364	5218.760152
365	5217.210021
366	5215.828433
367	5213.437217
368	5209.133923
369	5206.21237
370	5203.903354
371	5201.886682
372	5200.036619
373	5196.603058
374	5195.881827
375	5192.055355
376	5189.63549
377	5187.51917
378	5181.583896
379	5173.182848
380	5168.738207
381	5167.676435
382	5164.081077
383	5162.001941
384	5160.736152
385	5156.567539
386	5154.564374
387	5150.759042
388	5149.299931
389	5147.191296
390	5146.667692
391	5141.008155
392	5139.33936
393	5136.869798
394	5131.738538
395	5131.188868
396	5128.222818
397	5119.45157
398	5118.729554
399	5115.703657
400	5114.158291
401	5112.614288
402	5110.540079
403	5108.582923
404	5106.066922
405	5105.124757
406	5104.146886
407	5103.859166
408	5101.785569
409	5099.480352
410	5093.204669
411	5091.647035
412	5088.201605
413	5087.895344
414	5085.300101
415	5083.820159
416	5077.466035
417	5073.316336
418	5072.742275
419	5069.299584
420	5066.085899
421	5065.492213
422	5063.570537
423	5059.957214
424	5059.825281
425	5058.569714
426	5057.785595
427	5055.657084
428	5053.953114
429	5051.14948
430	5047.268196
431	5044.031028
432	5041.909341
433	5041.195138
434	5039.280717
435	5037.113641
436	5030.248236
437	5030.052455
438	5024.480061
439	5021.999685
440	5020.720272
441	5019.344547
442	5014.803743
443	5011.300108
444	5005.467578
445	5000.080719
446	4998.206303
447	4997.627512
448	4997.195131
449	4993.987423
450	4988.980793
451	4988.181435
452	4986.349144
453	4984.896579
454	4978.334185
455	4977.222072
456	4975.011667
457	4974.234286
458	4973.351315
459	4971.342888
460	4970.622899
461	4969.395686
462	4967.952075
463	4966.576303
464	4964.433044
465	4960.855599
466	4957.315965
467	4953.520978
468	4953.134651
469	4951.263014
470	4949.889917
471	4948.586869
472	4947.719793
473	4945.136511
474	4941.223111
475	4939.642859
476	4939.617286
477	4939.298476
478	4932.294867
479	4929.740272
480	4928.412304
481	4922.78111
482	4919.244185
483	4916.142167
484	4912.127013
485	4907.48432
486	4906.388706
487	4904.687694
488	4904.617486
489	4904.561256
490	4901.85632
491	4897.029321
492	4892.417932
493	4891.309156
494	4888.868791
495	4885.373383
496	4882.381874
497	4877.377667
498	4874.424689
499	4871.955881
